id,primaryCategories,city,name,reviews.rating,reviews.text,reviews.title
11,HSA,Philadelphia,"Home Suites By Hilton Philadelphia-Convention Center, Pa",4,We had a very good stay at this hotel. The staff is very friendly and helpful. The breakfast was good. I had been worried about the breakfast because I had seen some reviews that hated the warm up eggs and breakfast sandwiches but I thought they were just fine and there were a few other good options. The only thing that sucks about the warm up sandwiches is the waste it makes. Itd be nice if the wrappings were recyclable.The only negative thing I would say is that the rooms are showing a need for a deep clean. There is dirt accumulating in the corners and soap scum on the shower shelves. The room in general was clean but definitely showed signs of cleanliness neglect if that makes sense. Location is excellent for two reasons. 1) central to all of the attractions which makes everything super walkable and 2) right across the street from Reading Terminal which was awesome!,Good stay
12,HSA,Philadelphia,"Home Suites By Hilton Philadelphia-Convention Center, Pa",4,"Nice hotel with an excellent location. Large, modern rooms. Nice facilities and great internet connection. I remove one star because housekeeping service is on request only during the weekends. This is an obvious cost saving measure, but is a inconvenience for those only staying over a weekend. I hope Hilton reexamines this policy as it's really silly and no doubt... More",Remember to ask for housekeeping!
13,HSA,Philadelphia,"Home Suites By Hilton Philadelphia-Convention Center, Pa",5,Perfect location in the center of the city. Right across the strret from the market. And 5 min walk to take the Phlash bus loop around the city -RIDE ALL DAY 5 BUCKS PER PERSON. For craft beer lovers - 10 minute walk to Bru' on Chesnut Street with a HUGE tap line changes every day. Omar and Thomas at... More,Fantastic stay
14,HSA,Philadelphia,"Home Suites By Hilton Philadelphia-Convention Center, Pa",4,"Stayed here twice in the past 2 weeks. Accessible room both times. First the bad - I called the hotel within 45 minutes of checking out - very early morning. I realized I had left my ring on the table next to the bed and asked if they could please check on it immediately. They promised to call me back - they never did. Due to my early checkout and my prompt call, I doubt the cleaning staff had even entered the room. So, I'm very unhappy about the ring - nothing overly expensive, but it did have some sentimental value.Accessible rooms themselves were much more adequate than most - we have a lot of experience in this area, and many accessible rooms are NOT truly accessible. For our second stay we were given a room that was on the top floor and the furthest room from the elevator. In an emergency, we would have never gotten out of that hotel. My husband is in a wheelchair. There is no way we would have made it down 9 flights of stairs, and trying to get 2 children and a manual wheelchair to the elevator was tiring and difficult. WHY don't hotels use a little common sense and realize that accessible rooms on LOWER floors would be more logical We were offered no assistance with luggage either stay.A huge plus for this hotel is that they are one of the very few hotels in Philadelphia that offer 2 Queen beds in a room. However, I was told by the front desk staff that none of the Queen rooms face the street. So, the windows in these rooms basically face other 'inside' rooms and offer very little light. The hotel is fairly new, so the rooms do not have the tired and worn appearance that many hotels in Philadelphia do.Location for this hotel is very good. Very close to Jefferson University Hospital, Chinatown, Magee Rehabilitation hospital, restaurants, city hall, etc. Breakfast leaves a lot to be desired, but then again, yogurt, cereal, juice, beats 40+ for a family breakfast at a restaurant each day. I would do away with the microwave items altogether though.Price was very good, location great. While they could have done better in several areas, we plan to stay again.","A few issues, but overall good"
15,HSA,Philadelphia,"Home Suites By Hilton Philadelphia-Convention Center, Pa",5,"Across from reading terminal. Very close to convention center. Parking next door. New rooms well decorated and very spacious. Large bathroom. I didn't eat breakfast however it looked great and had many optionsDear 650tanyad,I would like to thank you for choosing the Home2 Suites by Hilton Philadelphia for your recent stay. I appreciate all of your nice comments and I am glad you enjoyed your stay with us! With so many choices here in center city Philadelphia, we greatly appreciate your business and look forward to welcoming you back soon, until then...With Hospitality,Jason Bloom General ManagerHome2 Suites by HiltonYour Second Home Away From Home",Great stay centrally located!
16,HSA,Philadelphia,"Home Suites By Hilton Philadelphia-Convention Center, Pa",5,"I would highly recommend staying at this hotel. The rooms are spacious and highly accommodating. The hotel is clean. The food market located directly across the street is very interesting and they have anything you could possibly be craving. The coffee downstairs is free with to-go cups and it's actually delicious.Dear barbieann12,I would like to thank you for choosing the Home2 Suites by Hilton Philadelphia for your recent stay. I appreciate all of your great comments and I am glad you enjoyed your stay with us! With so many choices here in center city Philadelphia, we greatly appreciate your business and look forward to welcoming you back soon, until then...With Hospitality,Jason Bloom General ManagerHome2 Suites by HiltonYour Second Home Away From Home",Great Accomodations
17,HSA,Philadelphia,"Home Suites By Hilton Philadelphia-Convention Center, Pa",3,"Hotel was clean, lobby is great. Room was nice, good size, clean. Mattress on bed was not great but not terrible. Breakfast food could be improved and the staff at the breakfast bar not friendly or helpful. But this hotel is in an excellent location in Philadelphia, right across the street from the Reading Terminal Market and near the historic... More","Pretty good hotel, could make a few changes"
18,HSA,Philadelphia,"Home Suites By Hilton Philadelphia-Convention Center, Pa",4,"This hotel is in a great location, right in the heart of everything. Parking is 35/day but right next door. The hotel staff was extremely friendly. The check in/check out procedure was very fast. Complimentary breakfast was just okay. Rooms are nice. Didn't have a good experience with housekeeping in my bathroom.",Great location
19,WT,Homosassa,MacRae's Of Homosassa Inc,5,"We have gone scalloping with Capt Russ for the past four summers. It is truly one of our favorite activities. We always get our scallop limit. Russ is so helpful, knowledgeable and relaxed that we all can't wait to see him. We have sent many groups his way and everyone feels the same. Scalloping with native sun tours is a... More",Scalloping with Capt. Russ is our families favorite activity!
20,WT,Longboat Key,The Resort at Longboat Key Club,5,Thank you Erik for taking care of my friends and I! You made sure everything was taken care of the whole day and even gave us a few places to visit while we're here! The pool was super clean along with the rooms and we have so much fun so far:) we will definitely be returning :) thanks again Erik!,Erik was great!
21,WT,Longboat Key,The Resort at Longboat Key Club,4,"We stayed at the resort Feb 16-19 first visit ever to longboat key or to the resort. Traveled with my 2 teenage daughters and originally had booked a Junior suite for the three of us. Upon arrival we realized that the room was way too small, essentially a king bed and a sleeper sofa in the same space, so decided... More",Very nice 3-night stay
22,WT,Longboat Key,The Resort at Longboat Key Club,5,"Had a room on the harbor side and was treated to a manatee siting our first evening there. Comfortable, clean room with washer/dryer--great for tennis players. Excellent time at the tennis center--games set up for us by Zoe every day we were there. Rode bikes one afternoon, one afternoon at the spa--perfect!",A Return to a Great Getaway
23,WT,Longboat Key,The Resort at Longboat Key Club,5,Joseph's service made our trip! He accommodated all of our requests and even went above and beyond to make our trip as nice as possible! He not only arranged our chairs and umbrellas by the beach but he also positioned the cushions and towels so that we were as comfortable as possible. He was amazing!,Joseph the beach attendant
24,WT,Longboat Key,The Resort at Longboat Key Club,5,"Place is outstanding!! The people here treat you like gold!! I was very happy with our entire experience here! Karl did an awesome job setting everything up for us every time we came to the beach! No matter what we needed, he was there. Very helpful and outstanding customer service. He also gave us a lot of input on places... More",Outstanding!
25,WT,Longboat Key,The Resort at Longboat Key Club,3,"First it looks like something happen in the beach and a bunch of dead fish are laying on the sand, as soon as the sun comes out the smell is extremely bad. Secondly the rooms are set not to allow the AC to lower below 70 that made the room uncomfortable and third we where in the room for three days and the minibar wasn't re-stocked or was the sugars for the coffee maker or tea, it looks like only one elevator was working and it took forever!",Not worth it the price!
26,WT,Longboat Key,The Resort at Longboat Key Club,5,"Have you ever been sitting on the beach with one of you very bestest friends, when, one of you wants to sit in the sun while the other prefers shade What to do What to do Well, Zach and Hunter solved that problem! They set up our umbrella perfectly and did it with a smile! Awesome people, beautiful resort!!",Talk About Service
27,WT,Longboat Key,The Resort at Longboat Key Club,4,Beach service very good. Umbrella and chairs set up by staff. Beach great.,Beach days.
28,WT,Longboat Key,The Resort at Longboat Key Club,5,"I went for a girls' weekend with two other girls. When we arrived, our room was not ready which we expected. So we went and had lunch. Our server, Javier, was wonderful! He took very good care of us and made sure we were having a good time. Once the rain cleared up, we sat outside and had a drink... More",Girls' Weekend
29,WT,Longboat Key,The Resort at Longboat Key Club,5,"What a great beautiful day to spend doing what I love most, which is laying on the beach and reading a book! Today, I went down to the beach by myself (which is rare) to enjoy a great book while I listen to the waves. It was extra special as I was greeted by Jake on the way to the... More",I love this place and their staff!
30,WT,Longboat Key,The Resort at Longboat Key Club,5,"Great location with great service, Front desk with Rob was excellent. Service at the pool was outstanding with Stacey doing a lot of work to make all guests.comfortable with pool services. Been there several times this year and noticed Stacey going out of her way to make things nice at the pool. Excellent room service, great views and nice bar... More",Review of the resort
31,WT,Longboat Key,The Resort at Longboat Key Club,5,"I play a few times a year during Christmas and New Year while visiting family on Longboat Key over the past 17 years. A lot of money has been spent on getting the course into great shape, and the course did not disappoint this year. The course is challenging but fair. I played the Red and Blue out of the... More",Golf at Bayside Courses magnificent!
32,WT,Longboat Key,The Resort at Longboat Key Club,5,I've spent alot of time at LBKC and the staff is fantastic. But this week Zack is the man! We had come to the beach late with hopes of getting chairs up front by the gulf (we knew it would be tough mid day on a weekend) and as expected it was busy. But within minutes Zack worked his magic... More,Been coming here for years
33,WT,Longboat Key,The Resort at Longboat Key Club,5,"Hunter was very attentive and welcoming on our first day! He helped us set up our chairs and made sure we were comfortable. Very polite staff and gorgeous resort, Looking forward to the rest of our stay.",Great Beach Service!
34,WT,Longboat Key,The Resort at Longboat Key Club,1,"First time we had stayed at this resort, we chose this report for its location and it was one of the more expensive hotels so presumed it would be good !!!! Room was in very poor condition and very worn out as a lot of the communal areas were, air condition couldn't be left on as the noise was horrendous... More",Overpriced and extremely outdated
35,WT,Longboat Key,The Resort at Longboat Key Club,4,We really enjoyed our week! The beach does have erosion but still so beautiful. Our unit was in building 6. We loved the pool and staff was super friendly. We used the complimentary bikes one day and liked them a lot. Loads of food options. Only drawback was that they've implemented some sort of room temperature control so you can't... More,Lovely and fun
36,WT,Longboat Key,The Resort at Longboat Key Club,5,"Amazing!! From the impeccable service at the front desk, at the pool, on the beach to the luxurious accommodations with breathtaking view, to the incredible fun had by all, including the kids - we couldn't be happier with the memorable weekend. From the first day we met him to the day of our wedding Jonathan Lester, event planner extraordinaire, took... More",Awesome - Best resort ever experienced - can't wait to go back!!!
37,WT,Longboat Key,The Resort at Longboat Key Club,5,"I came out to the club recently with some good friends of mine. The resort is beautiful! I loved all the amenities. And everyone was so nice! I was helped by Alex, Hunter and Leo. They were very kind and helpful. We will most definitely be coming back! :)",Great service! Lovely place!
38,WT,Longboat Key,The Resort at Longboat Key Club,5,"Stayed here for 3 nights on our way to Marco Island having never been to Longboat Key before. So glad we chose this resort, all the staff were so helpful and friendly. We had a gulf facing one bed roomed condo which was lovely. Very well equipped kitchen, even had washer and dryer which was helpful. Ate at Portofino, Sands... More",Lovely stay
39,WT,Longboat Key,The Resort at Longboat Key Club,4,"This was our second stay in as many years for a week. We enjoyed the resort - this Time in a jr suite in building 2. This bldg seems newer and very nice. We had a great lagoon view- complete with visits by manatees and Dolphins, which thrilled our boys. The daily housekeeping was good and always had plenty of... More",Lovely and affordable
40,WT,Longboat Key,The Resort at Longboat Key Club,4,The staff was great. The rooms were functional and comfortable. Not deluxe - but works. It's a bit of a trek to get to the mainland - don't be in a hurry at rush hour. But to stay at the hotel - great surroundings - and the access to the Gulf of Mexico is heavenly.,Fine front desk staff. Nice rooms. Great view of the Gulf.
41,WT,Longboat Key,The Resort at Longboat Key Club,5,"Freddy, Jake, Ozzy, and Ally were very good at keeping my friends and I satisfied while we enjoyed the gorgeous view here at the beach. They were ready to work and very enthusiastic during service! I definitely will be coming back and it was an amazing day at the beach!",Summer Fun
42,WT,San Diego,DoubleTree by Hilton Golf Resort San Diego,3,"Advertised as a golf resort, but the golf course has been closed for well over a year. One small swimming pool was open, the large lap pool and fitness center are closed :( Not updated in a long time, it's 4 unit 2 story bungalows for much of the property. Quiet, easy access to San Diego which is a 20+ minute drive.","No golf, despite the name."
43,WT,San Diego,DoubleTree by Hilton Golf Resort San Diego,3,"The rooms are hard to get to, only One elevator and a lot of Stairs. We had a lot of stuff and it was challenging. Also to pay for parking was ridiculous!","Wouldn't stay again.  Rooms are nice, that's it."
44,WT,Redding,Oxford Suites Redding,5,"This is a very nice place. Rooms were decorated nicely, roomy, and cool! I loved the seating area by the pool, but it does get a bit loud with all of the kids. Would have like an outdoor seating area away from the pool/kids. Wifi was fast, breakfast was good, and there were lots of green spaces for our dogs.... More",Dog friendly!
45,WT,Miles City,Best Western War Bonnet Inn,5,"This property provided us with an extremely enjoyable stay, the beds were excellent, the dcor and cleanliness excellent. the food outstanding, our BEST stay at a Best Western. If we are ever in this neck of the woods again, we will definitely stay at this Best Western.",BEST of the Best
46,WT,Miles City,Best Western War Bonnet Inn,4,"The hotel is older but it is clean and the staff were very friendly. We arrived late after travelling for many hours and they were friendly and quick to get us into a room. They kept the pool open an extra half hour so our daughter could swim, which was a huge bonus to an 11 year old.",Nice Hotel
47,WT,Miles City,Best Western War Bonnet Inn,4,"This hotel was clean and comfortable with all the amenities we were looking for. There was a fridge, which we wanted to place our cooler items into to keep from spoiling during our trip through a few states. We enjoyed the location, as we walked across the street for supper and stopped at a couple of the many casinos a... More",Nice stopover location
48,WT,Salem,Salem Motel,5,"Actual adjustable showerhead, great water pressure, BLANKETS(I know one reviewer didn't have any on their bed), stocked bathroom, tv worked fine and so did the fridge and microwave. The staff was very friendly to us, despite a mixup from the website not informing them of my room change. Maybe ours was better because it was a 2 room I don't... More",Excellent for what I paid
49,WT,Salem,Salem Motel,1,"Arriving at this hotel we had an open mind, this surely changed within the next hour of our stay. We checked in at roughly 10 PM, this process took a drooling 15 minutes at least. The two staff members had a hard time finding my reservation that was booked 3 days before through Hotels.com. We finally received our key, drove... More","Cold, Bugs, Rude"
50,WT,Creedmoor,Econo Lodge,5,"I travel a lot for business and picked this hotel to try out and the price was right.Had clean rooms ,most important was the high speed wifi and it worked great. The staff was friendly and helpful.Planning to come back for vacation with family.I highly recommend this place for your trip.",Pleasant stay
51,WT,Redding,Oxford Suites Redding,4,"Easy access from I5 for an overnight stay in the way further south. Front staff was very friendly and helpful. The evening reception offer is also a very nice touch. We enjoyed the soup and salad bar. When you check in you are given coupons for a free drink -- beer, wine, well drinks or pop. Our room was neat... More",Overnight stop
52,AER,Redding,Oxford Suites Redding,5,"We were impressed by how pet-friendly Oxford Suites was! We had just adopted a 6yo chocolate lab from Lab Rescue of Fresno, and the hotel welcomed him (and us) with open paws! They also provided a great doggy bag filled with bottles of water, dog treats, doggy scoop bags, and even a collapsible dog bowl! Our room was clean and comfortable, at a reasonable price. And the breakfast was excellent! Thank you Oxford Suites!",Very Pet Friendly!
53,AER,Redding,Oxford Suites Redding,5,"Great place to stay. Rooms were very nice, bed extremely comfortable. the breakfast and evening reception was a pleasant surprise. But most of all I want to talk about the customer service! My husband and I requested an early check in due to a scheduled fishing trip. Although check in is not scheduled until 3pm, our room was ready when... More",Excellent Customer Service
54,AER,Redding,Oxford Suites Redding,5,Nice room but horrible Internet. The breakfast was good as was the happy hour.,Pleasantly surprised!
55,AER,Redding,Oxford Suites Redding,5,We came to Redding to handle a family tragedy when my wife passed away. The staff was very friendly and even recognized is from a visit 6 months previously ( it was one of the last visits my children had with their mom). The fact that we were recognized and welcomed back brought back memories of a happier time and gave us a brief respite from the reality we were experiencing. Thank you so much.,Nice place to stay during difficult time.
56,AER,Redding,Oxford Suites Redding,5,"We (two families, group of 4 adults and 4 kids) showed up at the hotel at 9pm, we were told that there was only one room booked under my name. I was also told that may be there was an error in transcribing the online order to paper. The receptionist was kind and she took responsibility for the mistake on... More",Labor day weekend stay
57,AER,Redding,Oxford Suites Redding,4,"We drove up from the San Francisco Bay area to meet our son in Redding. He goes to school in central Oregon so his drive was a little longer compared to ours. The hotel staff is friendly, the rooms are very clean, and the beds are super comfortable. The free breakfast is also another very nice touch. If you are... More",Comfortable beds and free breakfast.
58,AER,Redding,Oxford Suites Redding,5,"I'd never heard of the Oxford Suites, so wasn't sure what to expect. Wow, what a pleasant surprise! Don't let the price (approx 100 per night ) scare you away. Sure you can hunt for a lower priced hotel in Redding for 70-80 a night- BUT I sincerely doubt they'll have the services and extras that the Oxford offers! Beautiful,... More",Worth Every Penny!
59,AER,Redding,Oxford Suites Redding,5,Clean and comfortable. Nice pool and good breakfast. The neighborhood is not great.,Clean and comfortable
60,AER,Redding,Oxford Suites Redding,5,"very nice rooms -great Q suite with the living room space! Pool and hot tub very nice. Enjoyed the cocktail and snack time. Good location, clean and friendly! We would stay again...",great hotel!
61,AER,Redding,Oxford Suites Redding,4,We were impressed at the thoughtfulness of the staff. There is a complimentary breakfast which starts at 7:00am but we left early so we would miss it. The staff offered us bagels and bananas to take with us on the road. A small but truly appreciated gesture. The room was large and comfortable. Good for traveling with a family. The only issue was that the bathroom door did not close well. We did not address this with the hotel as we were just there overnight.,Lots of room for families
62,AER,Redding,Oxford Suites Redding,2,"We showed up early and expected to wait. We had driven 500 mi. so a couple of hours wait for our room, reserved a week prior, was no problem. The receptionist assured us that he would try to speed up the cleaning process and would let us know when our room was available. That didn't happen. I noticed that generally... More","Sketchy Performance and too many dogs, disappointing snacks but still free wine, except Sunday."
63,AER,Elkhorn,Hampton Inn-elkhorn,5,"I travel extensively and normally visit at least three states per month for work. Hilton family hotels are my preference when I travel and I have stayed at a lot of them. While not the fanciest hotel in their portfolio (that would probably be the Waldorf Rome Cavalieri where we stayed two years ago), the Hampton Inn and Suites in... More",Best Hampton Inn Ever!
64,AER,Elkhorn,Hampton Inn-elkhorn,5,"The staff went above and beyond expectations. Always ready to help. The breakfast always had something everyone wanted to eat. They never ran out of food and the lady in the kicthen was very nice and helpful. She did an excellent job. The desk staff were very nice, always smiling and asking if there was anything they could do. The... More",Great family visit
65,AER,Elkhorn,Hampton Inn-elkhorn,5,"Very clean hotel, with friendly, efficient staff. Pool area was small, but impeccably clean and enjoyable. The hot breakfast was delicious and included omelets and waffles as well as cereals, breads/pastries, sausage, hash browns, hot chocolate, etc... Location good with multiple stores and restaurants nearby. The only minor flaw was the noise of the heat/air system, but definitely easy to... More",Pleasantly Surprised
66,AER,Elkhorn,Hampton Inn-elkhorn,5,"Quick check in, clean and comfortable large room. Very comfortable bed and pillows. Complimentary breakfast was excellent for this type of hotel. My only suggestion is that they please stock some plain black tea (only flavored teas were available). All staff we encountered were very friendly and welcoming.",Comfortable Bed Clean Room
67,AER,Elkhorn,Hampton Inn-elkhorn,1,"The people at the front desk are rude and not helpful. If there is a concert the weekend you are looking to book, they just hang up on you. What do they care, the hotel is already booked. Low class service.",Good luck if there is a concert in town
68,AER,Elkhorn,Hampton Inn-elkhorn,4,"This hotel was easy to get to and only 8 miles from Lake Geneva, WI. The hotel was clean and the service was excellent. It was in a nice area of town with local business stores within a block of the hotel. The only drawback was no fridge in room.",Nice quiet hotel
69,AER,San Diego,Hampton San Diego-Kearny Mesa,4,"Staff very friendly. For most part wall and TV muffled tantrum in next room, but not quite as well as I'd like. Treadmill was out of service when I went in, but other equipment was available. Staff responded well to reported issue. Road construction may have caused my neighborhood rating to be lower than it should.",Meets my needs
70,AER,San Diego,Hampton San Diego-Kearny Mesa,4,"Quiet neighborhood. Less than 10 miles to Sea World, Old Town, and Seaport Village. Double bed rooms do NOT have a sofa sleeper, as indicated when I booked (should be changed by now). We've stayed at several hotels in this chain, and we've always had a sofa sleeper and, usually, queen beds. Hotel staff was very accommodating, though, when I discovered this and they came up with a satisfactory solution. Breakfast is good, although very crowded.","Quiet, Safe Location"
71,AFS,McMinnville,Red Lion Inn & Suites McMinnville,4,"The Red Lion is owned by the same corporation that owns the Vineyard Inn, also in McMinnville. The Red Lion is a perfectly adequate hotel. The rooms are clean and the housekeeping adequate. The breakfast offered is OK--not gourmet, but gets you going in the morning. The Red Lion is a little quieter than the Vineyard Inn, since it is... More",Perfectly adequate
72,AFS,McMinnville,Red Lion Inn & Suites McMinnville,5,VERY NICE HOTEL. HAD A NICE STAY. THE SWIMMING POOL WAS OLD AND NEEDED REFINISHING. STAFF WAS PLEASANT AND HELPFUL.,GREAT STAY
73,AFS,Marina,Comfort Inn,3,"We stayed at the Comfort Inn for two nights over Labor Day weekend. Pros The rooms are large . The beds are comfortable. The windows open to allow the fresh cool air in. This was a huge plus! The hotel was quiet, even though they were pretty busy due to the weekend. Cons The refrigerator and microwave were a bit... More",Decent Hotel and Decent Cost
74,AFS,Las Vegas,Courtyard Las Vegas Convention Center,5,"Good clean room. The swimming pool is surrounded by the hotel (in the middle of the hotel), so people from the street can't see our activity Jose, the guy in the front desk was very helpful. He asked me do I have preference room, and I said no. So he gave me room on the first floor near the door.... More",Gated Parking lot
75,AFS,Las Vegas,Courtyard Las Vegas Convention Center,3,"Was looking for a quite hotel off the strip and it totally fit. Property and room were average, but very clean and quiet. Staff was great. Food at their caf was very good. Convenient to use monorail, station was just across the road.",AWS Conference
76,AFS,Las Vegas,Courtyard Las Vegas Convention Center,3,We stayed in this hotel for 5 nights from 28dec15 to 02Jan16. The room is nice and comfortable and the reception is friendly. The service from the cafe staffs were exceptional good too. Location is near a monorail which make it v accessible and its at the end of the strip which allowed us for a quiet drama-free rest. The... More,Stayed for 5 nights
77,AFS,Las Vegas,Courtyard Las Vegas Convention Center,4,If you are looking for a great location away from the traffic problems on the Las Vegas Strip try this courtyard by Marriott location. Easy access from the I15 freeway and best is across the street is the LV monorail system. Ample parking. Rooms are large and comfortable. No fee breakfast. In house dining but nothing special so look into... More,Great location
78,AFS,Cedar Rapids,Best Western Cooper's Mill Hotel,4,Stayed there well in town for a wedding. The front desk people were helpful. The little Lounge stayed open quite late which was a nice surprise. I would stay there again.,In town for a wedding
79,AFS,Cedar Rapids,Best Western Cooper's Mill Hotel,2,"My daughter and I checked in late after driving all day. The room we were originally set to be in was marked as not ready in the system, so we were assigned to a larger room. When we got into the room, overall, everything appeared to be clean. However, when we went to the bathroom to turn on the shower, we noticed that the shower/tub had not been cleaned (or if it had, it was not done well). There were several dark hairs still in the bathtub, as well as small stumbles from a man. This was quite disgusting and not what we wanted to deal with at the late hour. I did my best to wash out and wipe down the tub, but we quickly showered with our flip flops on and went to bed. In the morning, we woke up and checked out quickly because it just felt dirty in the room. I did let the clerk know about our room upon checkout, and she stated that she would let the head of cleaning know.",Needs improvement
80,AFS,Cedar Rapids,Best Western Cooper's Mill Hotel,5,I was surprised when I arrived at this hotel. The staff are all very nice and helpful. The hotel is easy to find and is very close to the downtown area and sports arenas. The hotel has a nice restaurant and a nice sports bar. My hotel room was clean and seemed to have been recently updated.,Great place to stay
81,AFS,Cedar Rapids,Best Western Cooper's Mill Hotel,5,"A quick, overnight stay. This was our first experience with a Best Western and if they're all this good, we'll definitely look at Best Westerns in the future.",Great experience.
